plab_GeV,sigma_mb,sigma_err_mb
1.476,36.07,0.18
1.49,35.82,0.47
1.494,36.06,0.18
1.49607,33.48,1.41
1.50088,35.5,0.4
1.515,35.06,0.47
1.52097,35.3,0.4
1.531,35.54,0.18
1.54,34.63,0.47
1.54115,34.5,0.4
1.565,34.39,0.47
1.572,35.08,0.18
1.58119,34.7,0.4
1.59,34.0,0.47
1.59,32.5,0.6
1.59548,31.81,1.5
1.604,34.75,0.19
1.62139,34.7,0.4
1.622,34.62,0.19
1.672,34.64,0.2
1.68155,34.3,0.4
1.719,34.7,0.2
1.75983,34.3,0.4
1.773,35.08,0.21
1.785,35.11,0.22
1.82099,34.0,0.4
1.821,35.51,0.23
1.851,35.49,0.26
1.869,35.58,0.26
1.87913,34.8,0.3
1.916,36.03,0.24
1.92026,35.2,0.4
1.951,36.08,0.25
1.967,36.18,0.25
2.0001,35.7,0.8
2.016,36.38,0.27
2.05,36.42,0.3
2.067,36.34,0.3
2.102,36.1,0.3
2.11979,35.4,0.3
2.168,36.06,0.3
2.217,35.77,0.39
2.26,35.48,0.25
2.266,35.44,0.4
2.366,34.63,0.4
2.414,34.35,0.45
2.47,33.8,0.8
2.52,34.055,0.02
2.522,33.53,0.85
2.568,33.32,0.7
2.614,32.95,0.7
2.62,33.468,0.02
2.665,32.89,0.8
2.72,33.017,0.02
2.75,32.5,0.1
2.75,32.5,0.1
2.82,32.758,0.02
2.92,32.546,0.02
3.02,32.411,0.02
3.1001,30.9,0.9
3.12,32.299,0.015
3.15,31.3,0.3
3.22,32.174,0.015
3.32,31.973,0.015
3.4,31.4,0.7
3.42,31.746,0.015
3.52,31.569,0.015
3.62,31.334,0.015
3.72,31.064,0.015
3.82,30.901,0.01
3.9,30.0,0.5
3.93,30.739,0.01
4.03,30.519,0.01
4.1,30.8,1.0
4.13,30.363,0.01
4.13,29.9,0.5
4.23,30.17,0.01
4.33,30.058,0.01
4.43,29.902,0.01
4.5,30.2,0.4
4.53,29.744,0.01
4.63,29.6,0.01
4.63747,29.4,2.7
4.73,29.487,0.01
4.83,29.36,0.01
4.9,28.7,1.0
4.9,29.6,0.6
4.93,29.237,0.01
4.95,29.1,0.5
5.03,29.12,0.01
5.13,28.988,0.01
5.23,28.881,0.01
5.33,28.766,0.01
5.44,28.68,0.01
5.54,28.586,0.025
5.64,28.45,0.025
5.74,28.355,0.025
5.75,29.1,0.4
5.84,28.256,0.025
5.94,28.149,0.025
6.0,28.5,0.3
6.04,28.072,0.025
6.24,27.884,0.025
6.44,27.704,0.025
6.64,27.518,0.025
6.65,27.9,0.3
6.84,27.356,0.025
6.94,27.236,0.025
7.0,28.4,0.4
7.0,27.8,0.8
7.19863,31.0,3.1
8.0,27.5,0.3
8.0,28.3,1.8
8.0,27.64,0.57
8.05,28.4,1.7
9.2,25.0,4.0
10.0,26.5,0.3
10.0,26.7,0.3
10.0,26.87,0.12
10.0,26.5,0.35
10.0,27.0,0.4
11.2,25.64,0.35
11.44,25.3,1.5
12.0,25.9,0.3
12.0,26.0,0.25
13.0,26.28,0.79
13.3,25.9,0.3
14.0,25.4,0.3
14.0,26.0,0.2
15.0,25.84,0.08
15.9,26.8,1.1
16.0,25.1,0.3
16.0,26.8,1.7
16.0,25.4,1.6
17.0,25.7,0.2
18.0,25.0,0.3
18.47,24.7,1.0
18.5,24.67,0.47
20.0,25.13,0.07
20.0,24.8,0.3
20.0,25.64,0.78
20.0,25.38,0.3
20.0,25.6,0.5
21.0,25.22,0.08
21.0,25.25,0.15
23.0,24.94,0.08
23.0,25.01,0.06
25.0,24.79,0.07
25.0,24.79,0.07
25.0,24.85,0.25
27.5,24.84,0.07
30.0,24.56,0.07
30.0,24.78,0.08
30.0,24.97,0.15
30.0,24.8,0.2
31.2,24.56,0.11
33.5,24.41,0.07
33.52,24.47,0.07
35.0,24.39,0.07
35.0,24.75,0.15
35.0,24.37,0.04
36.8,24.47,0.07
37.5,24.28,0.07
39.48,24.52,0.08
39.49,24.5,0.08
40.0,24.33,0.07
40.0,24.36,0.07
40.0,24.7,0.15
40.0,24.5,0.15
42.5,24.23,0.07
45.0,24.27,0.07
45.0,24.37,0.07
45.0,24.27,0.15
45.47,24.4,0.09
47.5,24.31,0.07
50.0,24.01,0.06
50.0,24.25,0.07
50.0,24.3,0.08
50.0,24.62,0.15
50.0,24.0,0.4
50.0,24.38,0.15
50.0,24.06,0.06
50.48,24.02,0.1
52.5,24.23,0.07
55.0,24.28,0.07
55.0,24.29,0.07
55.0,24.64,0.15
56.71,24.2,0.13
57.5,24.2,0.07
59.4,24.27,0.14
60.0,24.23,0.09
60.0,24.2,0.07
60.0,24.6,0.15
60.0,24.4,0.15
62.5,24.33,0.07
65.0,24.4,0.16
65.0,24.26,0.07
65.0,24.69,0.2
70.0,24.0,0.06
100.0,23.96,0.07
100.0,23.9,0.7
100.0,24.0,0.06
120.0,24.06,0.04
147.0,24.24,0.29
150.0,24.07,0.06
150.0,24.11,0.04
170.0,24.21,0.04
175.0,23.4,0.8
200.0,24.34,0.04
200.0,24.28,0.06
205.0,24.19,0.44
240.0,24.61,0.04
280.0,24.74,0.06
310.0,24.9,0.08
340.0,25.08,0.08
360.0,25.25,0.35
370.0,25.25,0.09
585.0,26.0,2.1
595.0,26.4,1.3
640.0,27.1,1.5
